name,percent
Delois,1.24e-4
Madonna,1.24e-4
Peggie,1.23e-4
Marlyn,1.21e-4
Sammie,1.21e-4
Vernice,1.21e-4
Celestine,1.2e-4
Philomena,1.2e-4
Dottie,1.19e-4
Freida,1.19e-4
Hallie,1.19e-4
Josefina,1.19e-4
Nan,1.19e-4
Sophia,1.19e-4
Susanne,1.19e-4
Valeria,1.19e-4
Elsa,1.18e-4
Stephanie,1.18e-4
Adelaide,1.18e-4
Dovie,1.17e-4
Isabella,1.17e-4
Lucinda,1.17e-4
Elise,1.16e-4
Angelita,1.15e-4
Berta,1.15e-4
Pattie,1.15e-4
Kitty,1.14e-4
Verda,1.14e-4
Donald,1.13e-4
Sherry,1.13e-4
Elda,1.12e-4
Enid,1.12e-4
Harriette,1.12e-4
Justine,1.12e-4
Rosalind,1.12e-4
Tina,1.12e-4
Andrea,1.11e-4
Celeste,1.11e-4
Erna,1.11e-4
Shirlee,1.09e-4
Lavern,1.08e-4
Treva,1.08e-4
Jan,1.08e-4
Laurel,1.08e-4
Augusta,1.07e-4
Elisa,1.07e-4
Gertie,1.07e-4
Manuela,1.07e-4
Sonya,1.07e-4
Denise,1.06e-4
Gene,1.06e-4
Jayne,1.06e-4
Rhea,1.06e-4
Aurelia,1.05e-4
Jeanine,1.05e-4
Lona,1.05e-4
Lue,1.05e-4
Lura,1.05e-4
Dorene,1.04e-4
Juana,1.04e-4
Theodora,1.04e-4
Una,1.04e-4
Elisabeth,1.03e-4
Gearldine,1.03e-4
Juliette,1.03e-4
Lauretta,1.03e-4
Lettie,1.03e-4
Madeleine,1.03e-4
Magdalene,1.03e-4
Ouida,1.03e-4
Bobbye,1.02e-4
Camilla,1.02e-4
Dorcas,1.02e-4
Oleta,1.02e-4
Carolina,1.01e-4
Florene,1.01e-4
Francisca,1.01e-4
Marianna,1e-4
Jeannie,9.9e-5
Myrtis,9.9e-5
Caryl,9.9e-5
Darleen,9.9e-5
Eldora,9.9e-5
Larue,9.9e-5
Marylin,9.8e-5
Novella,9.8e-5
Carmel,9.7e-5
Doloris,9.7e-5
Donnie,9.7e-5
Elvera,9.7e-5
Jeraldine,9.7e-5
Socorro,9.7e-5
Charline,9.6e-5
Charmaine,9.6e-5
Vesta,9.6e-5
Catharine,9.5e-5
Joseph,9.5e-5
Ofelia,9.5e-5
Roselyn,9.5e-5
Alvina,9.4e-5
Arleen,9.4e-5
Linnie,9.4e-5
Lucretia,9.4e-5
Alfreda,9.3e-5
Johnie,9.3e-5
Marvel,9.3e-5
Mina,9.3e-5
Norene,9.3e-5
Theda,9.3e-5
Cherry,9.2e-5
Nedra,9.2e-5
Yvette,9.2e-5
Adela,9.1e-5
Albertha,9.1e-5
Garnet,9.1e-5
Margarett,9.1e-5
Margarette,9.1e-5
Ursula,9.1e-5
Georgiana,9e-5
Ona,9e-5
Vida,9e-5
Georgianna,9e-5
Mickey,9e-5
Mitzi,9e-5
Myrtice,9e-5
Toni,9e-5
Clementine,8.9e-5
Loyce,8.9e-5
Marylyn,8.9e-5
Adell,8.8e-5
Jeane,8.8e-5
Kate,8.8e-5
Pamela,8.8e-5
Veda,8.8e-5
Dorotha,8.7e-5
Mazie,8.7e-5
Blanch,8.6e-5
Brenda,8.6e-5
Agatha,8.5e-5
Christene,8.5e-5
Cleta,8.5e-5
Leslie,8.5e-5
Dana,8.4e-5
Easter,8.4e-5
Fanny,8.4e-5
Georgette,8.4e-5
Jeanie,8.4e-5
Tessie,8.4e-5
Alpha,8.3e-5
Maryanne,8.3e-5
Thomas,8.3e-5
Darline,8.2e-5
Elida,8.2e-5
Hortense,8.2e-5
Mozelle,8.2e-5
Rubye,8.2e-5
Carroll,8.1e-5
Jacquelin,8.1e-5
Libby,8e-5
Martina,8e-5
Meredith,8e-5
Margot,8e-5
Lavina,7.9e-5
Maxie,7.9e-5
Vergie,7.9e-5
Edward,7.8e-5
Emilia,7.8e-5
Felicia,7.8e-5
Georgene,7.8e-5
Patti,7.8e-5
Vonda,7.8e-5
Zoe,7.8e-5
Daphne,7.7e-5
Earlean,7.7e-5
Elna,7.7e-5
Odell,7.7e-5
Dale,7.6e-5
Jill,7.6e-5
Norine,7.6e-5
Vilma,7.6e-5
Berneice,7.5e-5
Carmelita,7.5e-5
Cordelia,7.5e-5
Roseann,7.5e-5
Velva,7.5e-5
Corene,7.4e-5
Estela,7.4e-5
Idella,7.4e-5
Joretta,7.4e-5
Lavada,7.4e-5
Maybelle,7.4e-5
Chloe,7.3e-5
Magdalena,7.3e-5
Rutha,7.3e-5
Artie,7.2e-5
Charleen,7.2e-5
Dean,7.2e-5
Floy,7.2e-5
Ivy,7.2e-5
Melvina,7.2e-5
Romona,7.2e-5
Annetta,7.1e-5
Benita,7.1e-5
Dorine,7.1e-5
Magnolia,7.1e-5
Billye,7.1e-5
Cassie,7.1e-5
Cathryn,7.1e-5
Joye,7.1e-5
Octavia,7.1e-5
Orpha,7.1e-5
Paul,7.1e-5
Antonette,7e-5
Beatriz,7e-5
Elease,7e-5
Marceline,7e-5
Zona,7e-5
Aletha,6.9e-5
Eleanora,6.9e-5
Katheryn,6.9e-5
Leone,6.9e-5
